"","player","position","team","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","adp","aav","uncertainty"
"21","Jayden Daniels","QB","WAS",344,20.1,5.27,322,374,70.6,63.4,77.2,21,32,19,3,"2",35,22,11
"22","CeeDee Lamb","WR","DAL",198,15,4.51,172,215,70,67.8,57.8,22,26,32,3,"2",7.07,54.1,6
"23","Omarion Hampton","RB","LAC",183,28.1,0.891,138,216,69.5,53.7,74.7,23,40,21,17,"6",41.4,44.1,77
"24","James Conner","RB","ARI",182,17.6,1.35,160,208,68.7,75.6,67.1,24,19,27,18,"6",50.9,20.1,23
"25","Alvin Kamara","RB","NO",181,19.9,7.7,155,208,67.3,71.1,66.3,25,22,28,19,"6",42.8,24.1,28
"26","Puka Nacua","WR","LAR",194,13.9,0.144,177,213,65.5,72.7,55.3,26,20,34,4,"2",14.8,41.2,11
"27","Jalen Hurts","QB","PHI",338,9.93,12.8,326,353,65.4,68.2,56.2,28,25,33,4,"3",30,26,1
"28","Nico Collins","WR","HOU",193,15.9,1.77,174,217,65.4,70.4,59.5,27,24,30,5,"2",18.9,37.5,19
"29","Brock Bowers","TE","LVR",152,7.77,0.977,142,163,64.6,70.8,58.5,29,23,31,1,"1",37.6,24.8,3
"30","George Kittle","TE","SF",151,13.6,7.28,136,173,63.7,64.1,67.9,30,29,26,2,"1",42.7,20.8,34
"31","Brian Thomas Jr.","WR","JAC",192,23.5,0.903,163,232,63.6,59.2,74.9,31,34,20,6,"2",31.3,26.9,56
"32","Malik Nabers","WR","NYG",191,24.3,4.97,168,237,62.7,63.7,79.7,32,31,18,7,"2",19.9,33.1,60
